epoch,avg training loss,avg validation loss,avg training mae,avg validation mae
0,tensor(1.8701),0.2937280835460596,tensor(1.2525),tensor(0.4997)
1,tensor(0.9276),0.2666823318960138,tensor(0.8455),tensor(0.4704)
2,tensor(0.6963),0.09619586169719696,tensor(0.6669),tensor(0.2728)
3,tensor(0.5619),0.35200208413925616,tensor(0.6280),tensor(0.5532)
4,tensor(0.3184),0.18583711860012916,tensor(0.4701),tensor(0.3734)
5,tensor(0.2412),0.2103640343196661,tensor(0.4132),tensor(0.4005)
6,tensor(0.1813),0.11587694008990485,tensor(0.3455),tensor(0.2937)
7,tensor(0.1205),0.1026499168476242,tensor(0.2830),tensor(0.2895)
8,tensor(0.1672),0.097348323186084,tensor(0.3157),tensor(0.2813)
9,tensor(0.2139),0.13094244700229585,tensor(0.3608),tensor(0.3248)
10,tensor(0.1753),0.10604953177360245,tensor(0.3303),tensor(0.2837)
11,tensor(0.1544),0.17421939899485397,tensor(0.3172),tensor(0.3791)
12,tensor(0.1615),0.09573989370221758,tensor(0.3291),tensor(0.2744)
13,tensor(0.0953),0.0938564792043504,tensor(0.2473),tensor(0.2656)
14,tensor(0.1419),0.089238378208435,tensor(0.3070),tensor(0.2496)
15,tensor(0.1206),0.0889075078678966,tensor(0.2747),tensor(0.2582)
16,tensor(0.0644),0.08410098096392034,tensor(0.2086),tensor(0.2475)
17,tensor(0.0956),0.09943777508308915,tensor(0.2576),tensor(0.2752)
18,tensor(0.0712),0.08858267670127669,tensor(0.2176),tensor(0.2537)
19,tensor(0.0630),0.09550200089638335,tensor(0.2102),tensor(0.2573)
20,tensor(0.0802),0.11704829996198068,tensor(0.2392),tensor(0.2956)
21,tensor(0.0900),0.07807114610180317,tensor(0.2354),tensor(0.2443)
22,tensor(0.0903),0.11504628158496975,tensor(0.2397),tensor(0.3024)
23,tensor(0.1671),0.08056798335237261,tensor(0.3216),tensor(0.2332)
24,tensor(0.1008),0.08868654427419377,tensor(0.2467),tensor(0.2599)
25,tensor(0.1000),0.07489915424051916,tensor(0.2594),tensor(0.2378)
